HOH,Energía,Dipole_X,Dipole_Y,Dipole_Z,dif_distancia
60.0,0.00427078315988183,-0.008533533,0.49287236,0.0,-0.50000006
70.0,0.21409650146961212,0.009399309,0.47412246,0.0,-0.50000006
80.0,0.1911603808403015,0.027742324,0.4535247,0.0,-0.50000006
90.0,0.17545385658740997,0.04819858,0.4311489,0.0,-0.50000006
100.0,0.16587217152118683,0.07120005,0.40596277,0.0,-0.50000006
110.0,0.16183409094810486,0.095749505,0.3767635,0.0,-0.50000006
120.0,0.16280323266983032,0.12101735,0.3428407,0.0,-0.50000006
130.0,0.16791224479675293,0.1476999,0.30377033,0.0,-0.50000006
140.0,0.1762429177761078,0.1773605,0.25869817,0.0,-0.50000006
150.0,0.18671005964279175,0.20995666,0.20610657,0.0,-0.50000006
160.0,0.19784598052501678,0.24170777,0.14469878,0.0,-0.50000006
60.0,0.20789475739002228,-0.005186308,0.49481037,0.0,-0.39999998
70.0,0.15143567323684692,0.00806923,0.47514537,0.0,-0.39999998
80.0,0.12726886570453644,0.021825463,0.4535025,0.0,-0.39999998
90.0,0.11062400043010712,0.037793275,0.43012142,0.0,-0.39999998
100.0,0.10042159259319305,0.056410104,0.40416947,0.0,-0.39999998
110.0,0.09599578380584717,0.07668627,0.37449318,0.0,-0.39999998
120.0,0.09666110575199127,0.09761553,0.34025007,0.0,-0.39999998
130.0,0.10155195742845535,0.11945728,0.30085412,0.0,-0.39999998
140.0,0.10972070693969727,0.14334194,0.25545928,0.0,-0.39999998
150.0,0.11998365819454193,0.169299,0.20278788,0.0,-0.39999998
160.0,0.13084819912910461,0.1944621,0.1418613,0.0,-0.39999998
60.0,0.14060188829898834,-0.0027316804,0.49538827,0.0,-0.3
70.0,0.1091843768954277,0.0065151537,0.47555298,0.0,-0.3
80.0,0.08395522832870483,0.016242491,0.45338592,0.0,-0.3
90.0,0.06656716018915176,0.027952073,0.42930868,0.0,-0.3
100.0,0.055858250707387924,0.04202997,0.40272692,0.0,-0.3
110.0,0.051083363592624664,0.05761432,0.37260354,0.0,-0.3
120.0,0.051487620919942856,0.07373573,0.3380418,0.0,-0.3
130.0,0.05620114877820015,0.09040106,0.2983479,0.0,-0.3
140.0,0.06423164904117584,0.108381644,0.25268513,0.0,-0.3
150.0,0.07433408498764038,0.12774028,0.19996499,0.0,-0.3
160.0,0.08499950170516968,0.14643082,0.1394616,0.0,-0.3
60.0,0.09453240782022476,-0.0011945092,0.49522677,0.0,-0.19999993
70.0,0.08223246037960052,0.004616782,0.47559497,0.0,-0.19999993
80.0,0.05617699772119522,0.010799942,0.45322874,0.0,-0.19999993
90.0,0.03824841231107712,0.01846596,0.42870885,0.0,-0.19999993
100.0,0.02716626599431038,0.027901504,0.4016601,0.0,-0.19999993
110.0,0.022119618952274323,0.03847218,0.3711746,0.0,-0.19999993
120.0,0.02232593484222889,0.04942391,0.336346,0.0,-0.19999993
130.0,0.026906441897153854,0.060666647,0.29641464,0.0,-0.19999993
140.0,0.03482768312096596,0.07267583,0.2505524,0.0,-0.19999993
150.0,0.04481302574276924,0.08551414,0.19780692,0.0,-0.19999993
160.0,0.05534190312027931,0.09787114,0.13763542,0.0,-0.19999993
60.0,0.06471964716911316,-0.00039373527,0.49487746,0.0,-0.100000024
70.0,0.06728686392307281,0.0024012325,0.4755084,0.0,-0.100000024
80.0,0.04070490598678589,0.0053978977,0.45309907,0.0,-0.100000024
90.0,0.022447403520345688,0.0091859,0.42833808,0.0,-0.100000024
100.0,0.011137249879539013,0.013917702,0.40100262,0.0,-0.100000024
110.0,0.005919721908867359,0.019257573,0.3702821,0.0,-0.100000024
120.0,0.006003278773277998,0.024794979,0.335277,0.0,-0.100000024
130.0,0.010500560514628887,0.030455424,0.2951931,0.0,-0.100000024
140.0,0.018350543454289436,0.036464505,0.24920815,0.0,-0.100000024
150.0,0.02826375886797905,0.042860113,0.19645195,0.0,-0.100000024
160.0,0.03871210664510727,0.04900403,0.13649237,0.0,-0.100000024
60.0,0.04799632728099823,0.0,0.49471658,0.0,0.0
70.0,0.06250306218862534,-2.7755576e-17,0.4754597,0.0,0.0
80.0,0.03574007377028465,-2.7755576e-17,0.45304936,0.0,0.0
90.0,0.017372090369462967,0.0,0.42821234,0.0,0.0
100.0,0.00598532147705555,0.0,0.40078026,0.0,0.0
110.0,0.0007096646004356444,2.0539126e-15,0.3699784,0.0,0.0
120.0,0.0007517032790929079,2.2759572e-15,0.33491167,0.0,0.0
130.0,0.005220568273216486,0.0,0.29477522,0.0,0.0
140.0,0.013045665808022022,0.0,0.24874891,0.0,0.0
150.0,0.02293439954519272,0.0,0.19598992,0.0,0.0
160.0,0.03335599973797798,0.0,0.13610323,0.0,0.0
60.0,0.04260875657200813,0.00039373527,0.49487746,0.0,0.100000024
70.0,0.06728686392307281,-0.0024012325,0.4755084,0.0,0.100000024
80.0,0.04070490598678589,-0.0053978977,0.45309907,0.0,0.100000024
90.0,0.022447403520345688,-0.0091859,0.42833808,0.0,0.100000024
100.0,0.011137249879539013,-0.013917702,0.40100262,0.0,0.100000024
110.0,0.005919721908867359,-0.019257573,0.3702821,0.0,0.100000024
120.0,0.006003278773277998,-0.024794979,0.335277,0.0,0.100000024
130.0,0.010500560514628887,-0.030455424,0.2951931,0.0,0.100000024
140.0,0.018350543454289436,-0.036464505,0.24920815,0.0,0.100000024
150.0,0.02826375886797905,-0.042860113,0.19645195,0.0,0.100000024
160.0,0.03871210664510727,-0.04900403,0.13649237,0.0,0.100000024
60.0,0.04799632728099823,0.0011945092,0.49522677,0.0,0.19999993
70.0,0.08223246037960052,-0.004616782,0.47559497,0.0,0.19999993
80.0,0.05617699772119522,-0.010799942,0.45322874,0.0,0.19999993
90.0,0.03824841231107712,-0.01846596,0.42870885,0.0,0.19999993
100.0,0.02716626599431038,-0.027901504,0.4016601,0.0,0.19999993
110.0,0.022119618952274323,-0.03847218,0.3711746,0.0,0.19999993
120.0,0.02232593484222889,-0.04942391,0.336346,0.0,0.19999993
130.0,0.026906441897153854,-0.060666647,0.29641464,0.0,0.19999993
140.0,0.03482768312096596,-0.07267583,0.2505524,0.0,0.19999993
150.0,0.04481302574276924,-0.08551414,0.19780692,0.0,0.19999993
160.0,0.05534190312027931,-0.09787114,0.13763542,0.0,0.19999993
